Demanda;Criado em;DRI Audiovisual;Data Entrega;Etapa;Área Demandadora
[GT] Online -  turma 05 - Gestão Financerias com Gustavo Martins;August 5, 2024 1:11 PM;Gui Juhas;;Aprovado;Educação
ADs_Mariah_G4 Traction;August 5, 2024 3:01 PM;Raffaella Lima;;Cancelado;
REELS_3 erros_líder;August 6, 2024 1:32 PM;Gui Juhas;;Aprovado;Social G4
REELS_Líder bom x ruim;August 6, 2024 2:07 PM;Gui Juhas;;Aprovado;Social G4
REELS_SKILLS_Matar_Cultura;August 6, 2024 2:45 PM;Pedro Augusto;;Aprovado;Social G4
Aftermovie_DIAGONAL;August 6, 2024 4:44 PM;Gui Juhas;;Aprovado;
ADs_INFLUENCIADOR_TRACTION;August 6, 2024 6:19 PM;Gui Juhas;;Aprovado;Social G4
REELS_Nardon_Ricardo_Dias;August 6, 2024 7:27 PM;Raffaella Lima;;Aprovado;Social G4
REELS_uniformes_nazistas;August 7, 2024 11:19 AM;Gui Juhas;;Aprovado;Social G4
REELS_não_vamos_bater_meta;August 7, 2024 1:17 PM;Gui Juhas;;Aprovado;Social G4
REELS_G4_Bohemia;August 7, 2024 1:42 PM;Pedro Augusto;;Aprovado;Social G4
REELS_60/30/10;August 7, 2024 1:51 PM;Pedro Augusto;;Aprovado;Social G4
Edição para Website;August 7, 2024 5:59 PM;Lucas Liberato;;Aprovado;Matricial
EDIÇÃO DA GRAVAÇÃO [VSL FG4] - ALFREDO | ONLINE;August 8, 2024 12:21 PM;Lucas Liberato;;Aprovado;Educação
REELS_O Lula é competente;August 8, 2024 3:46 PM;Raffaella Lima;;Aprovado;Social G4
[ONLINE] [GEMP] Aula inaugural turma 05 com Matheus Ceballos;August 8, 2024 4:53 PM;Gui Juhas;;Aprovado;Educação
Curso de Metodologia Ágeis;August 8, 2024 5:03 PM;Pedro Augusto;;Aprovado;Educação
Gravação + edição do novo curso de Construção de plano de carreira;August 8, 2024 5:18 PM;Lucas Liberato;;Cancelado;Educação
REELS_Nardon_Joel;August 9, 2024 12:55 PM;Raffaella Lima;;Cancelado;Social G4
VOXLUMINIS_PauloGuedes;August 9, 2024 1:54 PM;Gui Juhas;;Aprovado;Podcast
REELS_PG no Vox 1;August 9, 2024 3:52 PM;Gui Juhas;;Aprovado;Social G4
REELS_PG no Vox - Democracia na prática;August 9, 2024 4:05 PM;Gui Juhas;;Aprovado;Social G4
REELS_PG no Vox - Só volto numa 3ª guerra mundial;August 9, 2024 4:24 PM;Gui Juhas;;Aprovado;Social G4
REELS_Manifesto Club;August 9, 2024 4:45 PM;Pedro Augusto;;Aprovado;Social G4
REELS_Convite Class;August 9, 2024 4:51 PM;Pedro Augusto;;Aprovado;Social G4
Sala Secreta - Aula Planejamento Estratégico | Manuel Lins G4 Gestão Empresarial;August 9, 2024 5:21 PM;Lucas Liberato;;Aprovado;Matricial
PAPO DE GESTÃO_NAPOLE;August 11, 2024 10:43 PM;Raffaella Lima;;Aprovado;Podcast
REELS_Grandes Líderes;August 12, 2024 3:59 PM;Pedro Augusto;;Aprovado;Social G4
REELS_Economia de Mercado;August 12, 2024 4:27 PM;Gui Juhas;;Aprovado;Social G4
REELS_Líder bonzinho;August 12, 2024 5:20 PM;Pedro Augusto;;Aprovado;Social G4
REELS_Perguntas 1:1;August 12, 2024 5:41 PM;Raffaella Lima;;Aprovado;Social G4
[ONLINE][JOURNEY]Checkpoint_2_Case_de_Financas_Silvio_Moura;August 13, 2024 10:49 AM;Raffaella Lima;;Aprovado;Educação
[ONLINE] [MON] Monitoria Processos e Estratégias de Crescimento - Victor Meireles;August 13, 2024 11:24 AM;Raffaella Lima;;Aprovado;Educação
[ECO] Aula 3 - Alavancas de Crescimento - T01;August 13, 2024 1:50 PM;Pedro Augusto;;Aprovado;Educação
Papo de Gestão_Thiago Cordeiro (Goodstorage);August 13, 2024 2:11 PM;Raffaella Lima;;Aprovado;Podcast
EDIÇÃO - ANÚNCIOS [FUNIL DE VSL - SKILLS] GRAVAÇÃO <> NARDON;August 13, 2024 4:41 PM;Gui Juhas;;Aprovado;
REELS_Nardon_Senna;August 13, 2024 7:05 PM;Raffaella Lima;;Aprovado;Social G4
REELS_Delegar Tarefas;August 13, 2024 10:27 PM;Lucas Liberato;;Aprovado;Social G4
REELS_Irmão bilionários;August 14, 2024 8:37 AM;Lucas Liberato;;Aprovado;Social G4
[ONLINE][GEMP] Turma 05 - Estratégia de Produtos com Leonardo Dirickson;August 14, 2024 3:49 PM;Raffaella Lima;;Aprovado;Educação
[ONLINE][JOURNEY] Aula_18_Ganho_de_Eficiência_Financeira_Giovanni_Colacicco (T01);August 15, 2024 4:40 PM;Raffaella Lima;;Aprovado;Educação
REELS_Ajuste Reels PG;August 16, 2024 1:17 PM;Raffaella Lima;;Aprovado;Social G4
REELS_Nardon_Feedback;August 16, 2024 3:05 PM;Lucas Liberato;;Aprovado;Social G4
REELS_Nardon_PDCA;August 16, 2024 3:07 PM;Raffaella Lima;;Aprovado;Social G4
REELS_Extremos_Juarez;August 16, 2024 3:09 PM;Pedro Augusto;;Aprovado;Social G4
EXTREMOS_JuarezLeite (Ep + 1Corte);August 16, 2024 3:30 PM;Lucas Liberato;;Aprovado;Podcast
PAPO DE GESTÃO_JULIANO CUSTÓDIO | EP + 1 CORTE;August 16, 2024 5:20 PM;Raffaella Lima;;Aprovado;Podcast
Vídeo Ministry Class 12;August 19, 2024 1:35 PM;Wilson Silva;;Aprovado;Comunidades
REELS_Nardon_Relógio;August 19, 2024 5:46 PM;Raffaella Lima;;Aprovado;Social G4
[online] [GT] Pensamento Estratégico com Rogério Vargas (T05);August 19, 2024 6:26 PM;Raffaella Lima;;Aprovado;Educação
Edição_Apresentação G4 Sprints Planejamento Estratégico;August 20, 2024 10:12 AM;Pedro Augusto;;Aprovado;
REELS_Nardon_Plano;August 20, 2024 2:07 PM;Pedro Augusto;;Aprovado;Social G4
[ONLINE] [JOURNEY] Checkpoint_1_Ganho_de_Eficiencia_Financeira_Silvio_Moura;August 20, 2024 2:27 PM;Raffaella Lima;;Aprovado;Educação
[ONLINE] [ECO] Checkpoint_Setorizado;August 20, 2024 3:07 PM;Raffaella Lima;;Aprovado;Educação
ONE DAY TG_BARRETOS;August 20, 2024 5:51 PM;Gui Juhas;;Aprovado;Podcast
Corte de vídeos para Website (Mentor Mania);August 20, 2024 6:29 PM;Gui Juhas;;Aprovado;Matricial
REELS_SKL_Steve Jobs;August 21, 2024 9:49 AM;Pedro Augusto;;Aprovado;Social G4
EXTREMOS_LÁSARODOCARMO (ep + 1 corte);August 21, 2024 2:05 PM;Gui Juhas;;Aprovado;Podcast
ADs_Vox_Paulo_Guedes_e_Tallis_Gomes_Expansao_de_Negocios_;August 21, 2024 2:40 PM;Gui Juhas;;Aprovado;
REELS_SKL_Contratar gente ruim;August 21, 2024 3:58 PM;Raffaella Lima;;Aprovado;Social G4
REELS_SKL_Demitir Funcionário;August 21, 2024 4:54 PM;Raffaella Lima;;Aprovado;Social G4
REELS_SKL_Duolingo;August 22, 2024 3:20 PM;Raffaella Lima;;Aprovado;Social G4
REELS_SKL_Time Desengajado;August 22, 2024 3:54 PM;Raffaella Lima;;Aprovado;Social G4
ANÚNCIOS - FNN - DENER LIPPERT (FUNIL DE VSL) Online;August 23, 2024 1:12 PM;Lucas Liberato;;Aprovado;Educação
REELS_TG em Barretos 1;August 26, 2024 5:55 PM;Pedro Augusto;;Aprovado;
Gravação + Edição | Curso: Fundamentos a análise de dados e pensamento lógico;August 27, 2024 12:40 PM;Gui Juhas;;Aprovado;Educação
[CURSO] [Gravação + Edição] Gestão da Jornada do Colaborador;August 27, 2024 12:42 PM;Raffaella Lima;23/10/2024;Aprovado;Educação
ADs_PP_Depoimento Eslen;August 27, 2024 2:31 PM;Gui Juhas;;Cancelado;
Aftermovie_QUARTEL DO ECOMMERCE;August 27, 2024 3:21 PM;Pedro Augusto;09/10/2024;Aprovado;
Curso_Retenção e Fidelização;August 27, 2024 4:07 PM;Gui Juhas;;Aprovado;Educação
[ONLINE][Journey]Qual_e_Sua_Cultura?_Fabricio_Chaves;August 29, 2024 3:18 PM;Gui Juhas;;Aprovado;Educação
OUTROS_CORTES DE TODAS AS PALESTRAS DO G4 CLASS 12;August 30, 2024 12:30 PM;Gui Juhas;;Aprovado;Comunidades
REELS_SKL_Matriz RFV;September 2, 2024 4:58 PM;Gui Juhas;;Aprovado;Social G4
REELS_Cancelamento_Saas_Dener;September 4, 2024 11:18 AM;Gui Juhas;;Aprovado;Social G4
REELS_Rolls_Royce;September 4, 2024 1:49 PM;Gui Juhas;;Aprovado;Social G4
VOXLUMINIS_HAP KLOP;September 4, 2024 3:39 PM;Gui Juhas;;Cancelado;Podcast
Aula ao Vivo_Gestão de Clientes;September 5, 2024 11:41 AM;Amanda Rui;;Aprovado;Educação
PP_Aula_OTE_Alfredo_Soares;September 6, 2024 3:18 PM;Gui Juhas;;Aprovado;
PP_ADs_Alfredo_Soares_OTE;September 6, 2024 3:26 PM;Gui Juhas;;Aprovado;
[ADs] [ON] [FG4] ALFREDO SOARES;September 10, 2024 11:30 AM;Gui Juhas;17/10/2024;Aprovado;Educação
[AFTERMOVIE] G4 Customer Experience;September 11, 2024 11:05 AM;Pedro Augusto;18/10/2024;Aprovado;
Papo de Gestão_Gui Azevedo | Alice;September 19, 2024 2:38 PM;Gui Juhas;;Aprovado;Podcast
Aftermovie_Alumni;September 20, 2024 3:44 PM;Gui Juhas;;Aprovado;Matricial
REELS_TG no jogo da NFL;September 20, 2024 4:03 PM;;;Cancelado;Social G4
REELS_The world is getting soft;September 20, 2024 4:08 PM;;;Cancelado;Social G4
REELS_Family - NFL;September 20, 2024 4:49 PM;;;Cancelado;Social G4
[AFTERMOVIE] JR MEETING;September 23, 2024 3:54 PM;Gui Juhas;02/12/2024;Aprovado;
Edição Nardon Ironman;September 23, 2024 5:29 PM;Raffaella Lima;;Aprovado;Youtube G4
[AFTERMOVIE] [DEPOIMENTOS] Encontro GEMP;September 23, 2024 6:50 PM;Gui Juhas;;Cancelado;Educação
Aftermovie G4 Esportes;September 23, 2024 6:53 PM;Amanda Rui;;Cancelado;Comunidades
[AFTERMOVIE] Skills Conference;September 23, 2024 6:54 PM;Pedro Augusto;13/01/2025;Aprovado;Educação
Aftermovie G4 Clubinho;September 23, 2024 6:55 PM;Amanda Rui;;Cancelado;Comunidades
G4 Podcasts_Ícaro de Carvalho (TOP5);September 24, 2024 10:26 AM;Lucas Liberato;10/10/2024;Aprovado;Podcast
[CURSO] Fundamentos de Demonstrativos Financeiros;September 26, 2024 11:08 AM;Raffaella Lima;21/12/2024;Aprovado;Educação
[CURSO] [Gravação + Edição] Descoberta de Produtos;September 26, 2024 11:29 AM;Raffaella Lima;08/11/2024;Aprovado;Educação
[CURSO] [Gravação + Edição] Introdução à Gestão de Produtos;September 26, 2024 11:35 AM;Gustavo Cairo;10/12/2024;Aprovado;Educação
[CURSO] Decisões de produto baseadas em dados;September 26, 2024 11:37 AM;Lucas Liberato;10/12/2024;Aprovado;Educação
[AFTERMOVIE] Gestão e Estratégia;September 26, 2024 1:36 PM;Lucas Liberato;21/10/2024;Aprovado;
[CURSO] [Gravação + Edição] Design Thinking;September 26, 2024 5:18 PM;Raffaella Lima;04/12/2024;Aprovado;Educação
REELS_Nardon_Estratégia_Napole;September 27, 2024 5:20 PM;Gui Juhas;;Cancelado;Social G4
Aula extra da Traction T47 <> Desenvolvimento de time;September 27, 2024 7:02 PM;Gui Juhas;;Aprovado;
Editar depoimentos da TRA46;September 30, 2024 9:41 AM;Pedro Augusto;14/10/2024;Aprovado;
EXTREMOS_Julia Primo;September 30, 2024 11:53 AM;Wilson Silva;;Aprovado;Podcast
BEM VINDOS_NARDON CX T14;September 30, 2024 2:19 PM;Gui Juhas;;Aprovado;
[ONLINE]][GEMP] Aula Inaugural turma 06 - Math Ceballos;September 30, 2024 3:01 PM;Pedro Augusto;;Aprovado;Educação
REELS_Nardon_Empresas_Quebram;September 30, 2024 3:31 PM;Wilson Silva;;Aprovado;Social G4
[ONLINE][GEMP] Turma 05 - Case Victor Meireles - Gestao de Processos;September 30, 2024 3:38 PM;Gui Juhas;;Aprovado;Educação
[ONLINE][GEMP]Aula Gestão de Processos - Turma 05 - Victor Meireles;September 30, 2024 3:50 PM;Gui Juhas;;Aprovado;Educação
REELS_SKL_CEO Starbucks;September 30, 2024 4:22 PM;Pedro Augusto;;Aprovado;Social G4
[ONLINE][GVD] Gestão de varejo digital - Gestão de processos - turma 01 - Leonardo Dirickson;September 30, 2024 4:34 PM;Pedro Augusto;;Aprovado;Educação
REELS_SKL_Lições;September 30, 2024 5:08 PM;Pedro Augusto;;Aprovado;Social G4
REELS_SKL_Senioridade;September 30, 2024 5:33 PM;Pedro Augusto;;Aprovado;Social G4
ADs_Motions_G4 TRACTION;September 30, 2024 5:47 PM;Pedro Augusto;;Cancelado;
REELS_SKL_Onboarding;September 30, 2024 7:20 PM;Pedro Augusto;09/10/2024;Aprovado;Social G4
[ONLINE] [ECO] Garantindo a Excelência no Pós Venda - Paula Pimenta;October 1, 2024 9:38 AM;Pedro Augusto;;Aprovado;Educação
[AFTERMOVIE] [ADAPTAÇÃO] Alumni;October 1, 2024 10:51 AM;Gui Juhas;;Cancelado;Matricial
PAPO DE GESTÃO_Misa;October 1, 2024 2:47 PM;Wilson Silva;;Aprovado;Podcast
REELS_Nardon_Níveis;October 1, 2024 3:15 PM;Gui Juhas;;Aprovado;Social G4
REELS_Tiro 1 — Aquecimento Valley;October 1, 2024 5:56 PM;Pedro Augusto;;Cancelado;Social G4
[ONLINE][Journey]T01_Checkpoint_I_Atracao_de_Talentos_Portugal;October 2, 2024 10:25 AM;Gui Juhas;;Aprovado;Educação
REELS_Nardon_IronMan;October 2, 2024 11:09 AM;Pedro Augusto;;Cancelado;Social G4
ADs_Misa_Out;October 2, 2024 4:31 PM;Gui Juhas;;Aprovado;
REELS_Teste Fernanda SKL;October 3, 2024 10:46 AM;Gui Juhas;;Aprovado;Social G4
ADs_AFTERMOVIE_GE;October 3, 2024 5:56 PM;Lucas Liberato;10/10/2024;Aprovado;
ADs_Aftermovie Traction;October 3, 2024 6:50 PM;Pedro Augusto;;Cancelado;
PAPO DE GESTÃO_RICHARD STAD (ARAMIS);October 4, 2024 12:27 PM;Lucas Liberato;;Aprovado;Podcast
[AFTERMOVIE] SEO SUMMIT;October 4, 2024 1:12 PM;Gui Juhas;02/12/2024;Aprovado;
ADs _ Paula Pimenta_ G4 Traction;October 4, 2024 1:30 PM;Gui Juhas;11/10/2024;Aprovado;
[ONLINE][GEMP] TURMA 06 - PLANEJAMENTO ESTRATÉGICO - DAVID LEDSON;October 4, 2024 2:22 PM;Pedro Augusto;;Aprovado;Educação
[ONLINE][GVD] turma 01 - pensamento estratégico - Rogério Vargas;October 4, 2024 2:31 PM;Pedro Augusto;;Aprovado;Educação
[AFTERMOVIE] Traction Exclusiva Journey T03;October 6, 2024 12:58 PM;Pedro Augusto;;Cancelado;Educação
[ONLINE][Journey] Checkpoint II - Atração e Seleção - Portugal ;October 8, 2024 10:03 AM;Gui Juhas;11/10/2024;Aprovado;Educação
EXTREMOS_EDUARDO CORREA;October 8, 2024 10:13 AM;Gui Juhas;10/10/2024;Aprovado;Podcast
[VALLEY] [MANIFESTO] TG + Misa;October 8, 2024 10:25 AM;Wilson Silva;;Cancelado;Matricial
[VALLEY] Manifesto - TG;October 8, 2024 10:29 AM;Wilson Silva;09/10/2024;Aprovado;Matricial
[VALLEY] [MANIFESTO] TG Palestrante;October 8, 2024 10:33 AM;Wilson Silva;14/10/2024;Aprovado;Matricial
REELS_SKL_Call center;October 8, 2024 1:47 PM;Gui Juhas;10/10/2024;Aprovado;Social G4
REELS_SKL_Perder funcionário;October 8, 2024 1:49 PM;Lucas Liberato;11/10/2024;Aprovado;Social G4
[REELS] [SKL] POV Feedback;October 8, 2024 2:31 PM;Pedro Augusto;16/10/2024;Aprovado;Social G4
[ONLINE] [ECO] Aula 9 - Crescimento sustentável de receita, Tiago Downsley;October 8, 2024 4:38 PM;Gui Juhas;09/10/2024;Aprovado;Educação
REELS_Pré-inscrição Valley;October 8, 2024 5:17 PM;Gui Juhas;09/10/2024;Aprovado;Social G4
[SCALE] [CONVITE] Live Relançamento;October 8, 2024 5:50 PM;Gui Juhas;;Aprovado;Comunidades
[REELS] [NARDON] Maior_Fraqueza;October 9, 2024 10:12 AM;Lucas Liberato;;Aprovado;Social G4
[REELS] [NARDON] Tratar_bem;October 9, 2024 10:26 AM;Lucas Liberato;;Aprovado;Social G4
[YOUTUBE] [G4 EDUCAÇÃO] TIGRINHO E BETS;October 9, 2024 4:36 PM;Pedro Augusto;16/10/2024;Aprovado;Youtube G4
[YOUTUBE] [G4 EDUCAÇÃO] VIDEO APPLE;October 9, 2024 4:47 PM;Wilson Silva;24/10/2024;Aprovado;Youtube G4
Transmissão Gravada_Treinamento Vitacom;October 10, 2024 1:55 PM;Gui Juhas;;Aprovado;
[REELS] [NARDON] Cobrar_o_time;October 10, 2024 2:33 PM;Raffaella Lima;15/10/2024;Aprovado;Social G4
[REELS] [NARDON] Jogo do tigrinho;October 10, 2024 2:50 PM;Pedro Augusto;;Cancelado;Social G4
[Journey] Turma 1 - Gestão de Carreira e Desenvolvimento - Marcela Zaidem;October 10, 2024 3:06 PM;Raffaella Lima;11/10/2024;Aprovado;Educação
[REELS] [NARDON] Não_espere_gratidão;October 10, 2024 3:10 PM;Raffaella Lima;17/10/2024;Aprovado;Social G4
[REELS] [NARDON] Frugal;October 10, 2024 4:24 PM;Lucas Liberato;;Aprovado;Social G4
[REELS] [SKILLS] Matriz GUT;October 10, 2024 5:19 PM;Gui Juhas;16/10/2024;Aprovado;Social G4
[ADs] [ON] [GEMP] Mariah | 01;October 10, 2024 6:09 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 02;October 10, 2024 6:10 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 03;October 10, 2024 6:10 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 04;October 10, 2024 6:10 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 05;October 10, 2024 6:10 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 06;October 10, 2024 6:10 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 07;October 10, 2024 6:10 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 08;October 10, 2024 6:10 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 09;October 10, 2024 6:10 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 10;October 10, 2024 6:10 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 11;October 10, 2024 6:11 PM;Gui Juhas;;Aprovado;Educação
[ADs] [ON] [GEMP] Mariah | 12;October 10, 2024 6:11 PM;Gui Juhas;;Aprovado;Educação
[ADs Videoselfie] Misa | Valley - Anúncio 1;October 10, 2024 8:31 PM;Raffaella Lima;;Aprovado;Matricial
[ADs Videoselfie] Misa | Valley - Anúncio 2;October 10, 2024 8:40 PM;Raffaella Lima;;Aprovado;Matricial
[ADs Videoselfie] Misa | Valley - Anúncio 3;October 10, 2024 8:40 PM;Raffaella Lima;;Aprovado;Matricial
[ADs Videoselfie] Misa | Valley - Anúncio 4;October 10, 2024 8:40 PM;Raffaella Lima;;Aprovado;Matricial
[ADs Videoselfie] Misa | Valley - Anúncio 5;October 10, 2024 8:40 PM;Raffaella Lima;;Aprovado;Matricial
[REELS] [NARDON] Apple Watch;October 11, 2024 2:08 PM;Lucas Liberato;24/10/2024;Aprovado;Social G4
[PODCAST] [EXTREMOS] Rafael Stark;October 11, 2024 2:15 PM;Raffaella Lima;22/10/2024;Aprovado;Podcast
[ONLINE][GEMP] Case -Tomada de decisão - turma 06;October 11, 2024 2:59 PM;Gui Juhas;14/10/2024;Aprovado;Educação
[ONLINE][GEMP] Aula Tomada de Decisão - turma 06 - Rogério Vargas;October 11, 2024 3:04 PM;Gui Juhas;14/10/2024;Aprovado;Educação
[ONLINE]  [GVD]Pensamento Estratégico - turma 01 - Rogério Vargas;October 11, 2024 3:24 PM;Gui Juhas;15/10/2024;Aprovado;Educação
[ONLINE][GT] Aula Liderança - turma 06 - Vitor Peçanha;October 11, 2024 3:32 PM;Pedro Augusto;17/10/2024;Aprovado;Educação
[PODCAST] [PAPO DE GESTÃO] ALE FRANKEL;October 11, 2024 3:34 PM;Raffaella Lima;17/10/2024;Aprovado;Podcast
[REELS] [G4] Abertura Valley;October 12, 2024 4:47 PM;Wilson Silva;14/10/2024;Aprovado;Social G4
[REELS] [G4] Adibe | Valley 2023;October 13, 2024 6:59 PM;Wilson Silva;;Cancelado;Social G4
[REELS] [G4] Ícaro, Sobral e Denner | Valley 2023;October 13, 2024 7:02 PM;Wilson Silva;;Cancelado;Social G4
[REELS] [G4] Paulo Guedes | Valley 2023;October 13, 2024 7:07 PM;Wilson Silva;;Cancelado;Social G4
[REELS] [G4] Feedback 3Cs (Revisão);October 13, 2024 7:42 PM;Pedro Augusto;29/10/2024;Aprovado;Social G4
[REELS] [G4] Conversa difícil - GROW;October 13, 2024 7:55 PM;Pedro Augusto;29/10/2024;Aprovado;Social G4
[REELS] [G4] Demitir alguém;October 13, 2024 8:06 PM;Pedro Augusto;25/10/2024;Aprovado;Social G4
[REELS] [G4] Chiquinho Sorvetes;October 13, 2024 9:15 PM;Wilson Silva;;Cancelado;Social G4
[REELS] [G4] Bolacha diamante;October 13, 2024 11:12 PM;Wilson Silva;28/10/2024;Aprovado;Social G4
[YOUTUBE] [TG] ONE DAY GRAVAÇÃO VALLEY;October 14, 2024 10:07 AM;Lucas Liberato;;Aprovado;
[AFTERMOVIE] Scale T04BM13;October 14, 2024 11:19 AM;Lucas Liberato;11/11/2024;Aprovado;Comunidades
[CASE] [CLUB] Laurence Tataren;October 14, 2024 12:42 PM;Wilson Silva;;Aprovado;Comunidades
[PODCAST] [G4 Podcasts] Marcelo Abritta (Buser) - Top 5;October 14, 2024 1:29 PM;Gui Juhas;16/10/2024;Aprovado;Podcast
[REELS] [SKILLS] Demissão;October 14, 2024 1:29 PM;Wilson Silva;18/10/2024;Aprovado;Social G4
[PODCAST] [G4 Podcasts] Monica Hauck | Top5;October 14, 2024 1:33 PM;Raffaella Lima;24/10/2024;Aprovado;Podcast
[REELS] [SKILLS] Empresas Disruptivas;October 14, 2024 1:50 PM;Gui Juhas;24/10/2024;Aprovado;Social G4
[ADs] [Corporativo] [G4 Valley] MISA - Anúncio 1;October 14, 2024 6:16 PM;Gui Juhas;15/10/2024;Aprovado;Matricial
[ADs] [Corporativo] [G4 Valley] MISA - Anúncio 2;October 14, 2024 6:19 PM;Gui Juhas;15/10/2024;Aprovado;Matricial
[ADs] [Corporativo] [G4 Valley] MISA - Anúncio 3;October 14, 2024 6:19 PM;Gui Juhas;15/10/2024;Aprovado;Matricial
[ADs] [Corporativo] [G4 Valley] MISA - Anúncio 4;October 14, 2024 6:19 PM;Gui Juhas;15/10/2024;Aprovado;Matricial
[ADs] [Corporativo] [G4 Valley] MISA - Anúncio 5;October 14, 2024 6:19 PM;Gui Juhas;15/10/2024;Aprovado;Matricial
